movie,character,actor,path
7번방의 선물,용구,류승룡,Miracle_in_Cell_No.7/Yong_gu(Ryu_Seung_ryong)
7번방의 선물,예승,갈소원,Miracle_in_Cell_No.7/Ye_song(Gal_So_won)
7번방의 선물,소양호,오달수,Miracle_in_Cell_No.7/So_Yang_ho(Oh_Dal_su)
7번방의 선물,신봉식,정만식,Miracle_in_Cell_No.7/Shin_Bong_sik(Jeong_Man_sik)
7번방의 선물,서노인,김기천,Miracle_in_Cell_No.7/Seo_No_in(Kim_Ki_cheon)
범죄도시,마석도,마동석,The_Outlaws/Ma_Seok-do(Ma_Dong_seok)
범죄도시,강해상,손석구,The_Outlaws/Kang_Hae_sang(Son_Seok_gu)
범죄도시,장첸,윤계상,The_Outlaws/Jang_Chen(Yoon_Kye_sang)
범죄도시,장이수,박지환,The_Outlaws/Jan_gI_su(Park_Ji_hwan)
범죄도시,백창기,김무열,The_Outlaws/Baek_Chang_gi(Kim_Mu_yeol)
극한직업,고반장,류승룡,Extreme_Job/Go_Ban_jang(Ryu_Seung_ryong)
극한직업,장형사,이하늬,Extreme_Job/Jang_Hyeong_sa(Lee_Ha_nui)
극한직업,마형사,진선규,Extreme_Job/Ma_Hyeong_sa(Jin_Seon_gyu)
극한직업,영호,이동휘,Extreme_Job/Young_ho(Lee_Dong_hwi)
극한직업,재훈,공명,Extreme_Job/Jae_hoon(Gong_myeong)
건축학개론,승민,엄태웅,Architecture_101/Seung_min(Uhm_Tae_woong)
건축학개론,승민,이제훈,Architecture_101/Seung_min(Lee_Je_hoon)
건축학개론,서연,수지,Architecture_101/Seo_yeon(Su_zy)
건축학개론,서연,한가인,Architecture_101/Seo_yeon(Han_Ga_in)
건축학개론,납뜩이,조정석,Architecture_101/Napp_deuk_i(Jo_Jung_seok)
기생충,연교,조여정,Parasite/Yeon_gyo(Jo_Yeo_jeong)
기생충,기우,최우식,Parasite/Ki-woo(Choi_Woo_shik)
기생충,기택,송강호,Parasite/Ki-taek(Song_Kang_ho)
기생충,기정,박소담,Parasite/Ki-jeong(Park_So_dam)
기생충,동식,이선균,Parasite/Dong_ik(Lee_Sun_kyun)
